Date,Buoy,Chl,Turbidez
2016-06-08,CTD8,13.715,4.58
2016-06-29,CTD4,12.175,6.042
2016-08-02,CTD1,12.325,5.585
2016-08-02,CTD10,15.065,7.8
2016-08-02,CTD11,15.795,6.12
2016-08-02,CTD12,16.485,6.93
2016-08-02,CTD2,15.67,5.515
2016-08-02,CTD3,14.81,4.705
2016-08-02,CTD4,11.815,4.735
2016-08-02,CTD6,17.085,6.045
2016-08-02,CTD7,16.795,7.4
2016-08-02,CTD8,14.655,7.73
2016-08-02,CTD9,10.98,24.44
2016-08-04,CTD1,14.795,6.81
2016-08-04,CTD10,18.555,5.44
2016-08-04,CTD11,15.38,5.36
2016-08-04,CTD12,20.51,6.075
2016-08-04,CTD2,11.365,4.665
2016-08-04,CTD3,10.705,3.925
2016-08-04,CTD4,7.49,4.005
2016-08-04,CTD6,11.19,5.395
2016-08-04,CTD7,12.205,5.39
2016-08-04,CTD8,16.64,6.49
2016-08-04,CTD9,10.18,7.71
2016-08-09,CTD1,10.865,6.835
2016-08-09,CTD10,10.3,4.22
2016-08-09,CTD11,9.11,3.73
2016-08-09,CTD12,9.51,4.235
2016-08-09,CTD2,11.75,4.805
2016-08-09,CTD3,12.155,3.9
2016-08-09,CTD4,8.03,3.595
2016-08-09,CTD5,0.285,0.135
2016-08-09,CTD6,11.08,4.58
2016-08-09,CTD7,12.465,5.89
2016-08-09,CTD8,13.48,6.195
2016-08-09,CTD9,3.66,6.2
2016-08-22,CTD12,12.362,7.66
2016-08-25,CTD1,14.685,6.58
2016-08-25,CTD10,19.245,11.575
2016-08-25,CTD11,15.14,9.0
2016-08-25,CTD2,16.625,6.12
2016-08-25,CTD3,14.44,4.865
2016-08-25,CTD4,16.52,3.66
2016-08-25,CTD5,0.52,1.165
2016-08-25,CTD6,12.095,7.795
2016-08-25,CTD7,12.105,8.925
2016-08-25,CTD8,11.22,9.26
2016-08-25,CTD9,14.7,22.11
2016-08-26,CTD4,,
2016-08-27,CTD4,11.11,5.35
2016-08-30,CTD1,12.46,5.94
2016-08-30,CTD10,14.645,8.065
2016-08-30,CTD11,9.12,7.04
2016-08-30,CTD2,13.955,5.515
2016-08-30,CTD3,15.43,4.945
2016-08-30,CTD4,12.33,4.245
2016-08-30,CTD5,2.035,0.53
2016-08-30,CTD6,14.67,5.565
2016-08-30,CTD7,15.98,11.425
2016-08-30,CTD8,16.04,6.775
2016-08-30,CTD9,8.44,12.22
2016-08-31,CTD1,,
2016-09-01,CTD1,15.61,7.0
2016-09-06,CTD1,18.105,4.84
2016-09-06,CTD10,16.81,5.715
2016-09-06,CTD11,15.72,6.545
2016-09-06,CTD12,11.81,3.33
2016-09-06,CTD2,16.625,3.745
2016-09-06,CTD3,16.27,3.8
2016-09-06,CTD4,11.085,3.955
2016-09-06,CTD5,1.52,0.28
2016-09-06,CTD6,14.275,4.15
2016-09-06,CTD7,14.855,7.0
2016-09-06,CTD8,13.965,5.96
2016-09-06,CTD9,6.76,5.77
2016-09-08,CTD1,20.94,4.93
2016-09-08,CTD10,14.865,4.9
2016-09-08,CTD11,13.7,4.68
2016-09-08,CTD12,13.025,3.94
2016-09-08,CTD2,15.345,4.12
2016-09-08,CTD3,13.84,3.74
2016-09-08,CTD4,13.55,3.37
2016-09-08,CTD5,1.27,0.14
2016-09-08,CTD6,13.9,4.24
2016-09-08,CTD7,15.895,4.49
2016-09-08,CTD9,3.8,5.55
2016-09-22,CTD1,16.225,7.095
2016-09-22,CTD10,12.84,9.25
2016-09-22,CTD11,14.64,9.243
2016-09-22,CTD2,14.365,7.56
2016-09-22,CTD3,12.657,7.028
2016-09-22,CTD4,11.365,6.195
